Nr	Kommunenavn	Adm.senter	Fylke	Folketall	Areal
1539	Rauma	Åndalsnes	MøreogRomsdal	7299	144926
1532	Giske	Valderøya	MøreogRomsdal	8691	4058
1508	Ålesund	Ålesund	MøreogRomsdal	58509	37134
3430	Os	Os	Innlandet	1891	10404
1531	Sula	Langevåg	MøreogRomsdal	9720	5851
1528	Sykkylven	Aure	MøreogRomsdal	7617	3378
3426	Tolga	Tolga	Innlandet	1604	112256
1517	Hareid	Hareid	MøreogRomsdal	5322	8227
1516	Ulstein	Ulsteinvik	MøreogRomsdal	8861	972
1578	Fjord	Sylte	MøreogRomsdal	2492	119058
1515	Herøy	Fosnavåg	MøreogRomsdal	8968	11953
3427	Tynset	Tynset	Innlandet	5692	188026
1525	Stranda	Stranda	MøreogRomsdal	4348	86586
1514	Sande	Larsnes	MøreogRomsdal	2438	9324
1520	Ørsta	Ørsta	MøreogRomsdal	10958	66158
3432	Lesja	Lesja	Innlandet	1983	225949
3429	Folldal	Folldal	Innlandet	1532	127707
3428	Alvdal	Alvdal	Innlandet	2526	94215
1577	Volda	Volda	MøreogRomsdal	11093	87687
1511	Vanylven	Fiskåbygd	MøreogRomsdal	3026	38511
3431	Dovre	Dovre	Innlandet	2503	136438
4649	Stad	Nordfjordeid	Vestland	9610	75278
3433	Skjåk	Bismo	Innlandet	2141	207551
4651	Stryn	Stryn	Vestland	7271	138202
3425	Engerdal	Engerdal	Innlandet	1361	219654
3435	Vågå	Vågåmo	Innlandet	3531	132999
4648	Bremanger	Svelgen	Vestland	3392	83312
3434	Lom	Fossbergom	Innlandet	2212	196855
3437	Sel	Otta	Innlandet	5756	90504
3424	Rendalen	Bergset	Innlandet	1837	317951
4650	Gloppen	Sandane	Vestland	5926	103053
4602	Kinn	Florø	Vestland	17349	81186
3436	Nord-Fron	Vinstra	Innlandet	5586	114132
3423	Stor-Elvdal	Koppang	Innlandet	2276	216577
3439	Ringebu	Vålebrua	Innlandet	4413	124757
3438	Sør-Fron	Hundorp	Innlandet	3119	7422
4647	Sunnfjord	Førde	Vestland	22450	220813
4644	Luster	Gaupne	Vestland	5371	270635
4645	Askvoll	Askvoll	Vestland	2986	32624
3421	Trysil	Innbygda	Innlandet	6566	30144
4646	Fjaler	Dale	Vestland	2869	41659
4643	Årdal	Årdalstangen	Vestland	5239	97658
3441	Gausdal	Segalstadbru	Innlandet	6177	119115
3440	Øyer	Tingberg	Innlandet	5124	64013
4640	Sogndal	Sogndalsfjøra	Vestland	12319	125784
3422	Åmot	Rena	Innlandet	4289	133991
3453	ØystreSlidre	Heggenes	Innlandet	3298	96924
3454	Vang	Vang	Innlandet	1645	150549
4637	Hyllestad	Hyllestad	Vestland	1268	2589
4638	Høyanger	Høyanger	Vestland	3879	100092
3405	Lillehammer	Lillehammer	Innlandet	28768	47794
4642	Lærdal	Lærdalsøyri	Vestland	2160	134252
4636	Solund	Hardbakke	Vestland	750	22821
4639	Vik	Vikøyri	Vestland	2551	83321
3452	VestreSlidre	Slidre	Innlandet	2112	45711
3450	Etnedal	Bruflat	Innlandet	1366	45914
